"Timestamp","Disk_C:_FreeGB","CheckSDRefDom","GPOReplication","DiskSpace","Advertising","Ping","OSVersion","IPv4Address","Disk_C:_TotalGB","SysVolCheck","NCSecDesc","OSFreeSpaceGB","KnowsOfRoleHolders","NotInstalledServiceCount","Intersite","OSFreeSpacePercent","OperationMasterRoles","PingStatus","FSMORoleCount","SystemLog","ObjectsReplicated","SecurityIssueCount","MachineAccount","Services","UptimeHours","CrossRefValidation","DFSREvent","DomainController","SystemErrors24h","DNSService","SecurityBaseline","Connectivity","DNSZones","NetLogons","StoppedServiceCount","VerifyReferences","RidManager","ReplicationDelayMinutes","KccEvent","FrsEvent","Replications","Site","FSMORoles","Replication","LocatorCheck"
"2026-02-16 11:41:27","35.93","PASS","PASS","PASS","PASS","PASS","Microsoft Windows Server 2025 Datacenter 10.0.26100","10.0.0.10","58.36","PASS","PASS","35.93","PASS","0","PASS","61.6","PDC, RID, Infrastructure, Schema, Domain Naming","Online","5","PASS","PASS","0","PASS","PASS","13.5","PASS","PASS","dc01.HomeLAN.internal","ERROR","Running","PASS","PASS","PASS","PASS","0","PASS","PASS","46.4","PASS","PASS","PASS","Default-First-Site-Name","PDC Emulator, RID Master, Infrastructure Master, Schema Master, Domain Naming Master","PASS","PASS"
"2026-02-16 11:41:27","37.84","PASS","PASS","PASS","PASS","PASS","Microsoft Windows Server 2025 Datacenter 10.0.26100","10.0.0.11","58.36","PASS","PASS","37.84","PASS","0","PASS","64.8","","Online","0","PASS","PASS","0","PASS","PASS","13.5","PASS","PASS","dc02.HomeLAN.internal","3","Running","PASS","PASS","PASS","PASS","0","PASS","PASS","8.5","PASS","PASS","PASS","Default-First-Site-Name","","PASS","PASS"
